repetition,tool,cohort,completed_requests,input_tokens_per_request,output_tokens_per_request,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,comparable_decode_metric_name,comparable_decode_p50_ms,comparable_decode_p95_ms,comparable_decode_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,successful_requests_per_second,output_tokens_per_second,true_itl_available_requests,notes
1,Slentore,summary-100,100,23,32,21.106488,26.292654,29.368943,TPOT (request-level decode duration/(output tokens-1)),13.542193,13.614050,13.677286,441.040898,446.114306,448.547429,2.264471,72.463073,100,run_id=20260916T023601Z-62ed41f4; true ITL intervals=3100
1,vLLM bench,result-100,100,23,32,22.335259,29.278224,37.709332,TPOT,13.554917,13.621091,13.851419,442.637317,449.436790,457.907493,2.254885,72.156329,,native vLLM bench result; ITL not treated as token-identity evidence
1,NVIDIA AIPerf,profiling-100,100,23,32,20.387466,27.755545,36.823595,inter_token_latency,13.560936,13.621115,13.904741,440.938778,448.461108,455.267688,2.253601,72.115232,,AIPerf inter-chunk latency excluded from true-ITL comparison
1,GuideLLM,raw-request-100,100,23,32,21.885633,27.333260,32.356977,raw-response inter_token_latency_ms,13.548320,13.591805,13.658101,442.083836,446.847200,452.048540,2.255981,72.191402,,raw request cohort; nearest-rank percentiles recomputed
1,GuideLLM,native-finalized-98,98,23,32,21.885633,27.333260,38.754225,unavailable (native TPOT boundary not comparable),,,,442.083836,446.847200,456.661940,,,,kept separate; native time_per_output_token_ms deliberately not mapped
2,Slentore,summary-100,100,23,32,20.923581,26.037150,29.534603,TPOT (request-level decode duration/(output tokens-1)),13.548251,13.591128,13.634632,441.072902,443.904058,446.212139,2.266418,72.525364,98,run_id=20260916T024221Z-0d2127aa; true ITL intervals=3038
2,vLLM bench,result-100,100,23,32,21.851635,29.233022,37.394121,TPOT,13.536637,13.622548,13.691804,441.480584,447.326960,456.487687,2.258844,72.283005,,native vLLM bench result; ITL not treated as token-identity evidence
2,NVIDIA AIPerf,profiling-100,100,23,32,20.382276,28.031312,32.499231,inter_token_latency,13.549251,13.590690,13.756642,440.629138,446.911863,448.128636,2.256367,72.203747,,AIPerf inter-chunk latency excluded from true-ITL comparison
2,GuideLLM,raw-request-100,100,23,32,22.693396,29.694557,34.300804,raw-response inter_token_latency_ms,13.534369,13.582099,13.635766,442.499876,447.803259,450.170517,2.253634,72.116280,,raw request cohort; nearest-rank percentiles recomputed
2,GuideLLM,native-finalized-98,98,23,32,22.693396,30.808449,38.335323,unavailable (native TPOT boundary not comparable),,,,442.499876,448.785543,453.471422,,,,kept separate; native time_per_output_token_ms deliberately not mapped
3,Slentore,summary-100,100,23,32,20.922499,28.506565,35.171117,TPOT (request-level decode duration/(output tokens-1)),13.549102,13.629239,13.885247,441.116160,450.231130,454.183071,2.262262,72.392371,99,run_id=20260916T024846Z-732a923f; true ITL intervals=3069
3,vLLM bench,result-100,100,23,32,22.084384,28.890690,30.630550,TPOT,13.541967,13.620998,13.768116,442.022135,448.472597,450.271220,2.258599,72.275157,,native vLLM bench result; ITL not treated as token-identity evidence
3,NVIDIA AIPerf,profiling-100,100,23,32,21.000046,28.909258,33.810186,inter_token_latency,13.556021,13.838839,13.993139,441.598592,451.714830,453.503675,2.244417,71.821353,,AIPerf inter-chunk latency excluded from true-ITL comparison
3,GuideLLM,raw-request-100,100,23,32,22.710323,29.094934,31.911612,raw-response inter_token_latency_ms,13.532677,13.634836,13.834469,442.961454,447.695494,451.653719,2.251709,72.054672,,raw request cohort; nearest-rank percentiles recomputed
3,GuideLLM,native-finalized-98,98,23,32,22.710323,29.094934,31.911612,unavailable (native TPOT boundary not comparable),,,,442.961454,447.695494,455.559731,,,,kept separate; native time_per_output_token_ms deliberately not mapped
