input_tokens,requested_max_output_tokens,concurrency,repetitions,mean_actual_output_tokens,mean_ttft_p50_ms,mean_ttft_p95_ms,mean_ttft_p99_ms,mean_tpot_p50_ms_per_token,mean_tpot_p95_ms_per_token,mean_tpot_p99_ms_per_token,mean_e2e_p50_ms,mean_e2e_p95_ms,mean_e2e_p99_ms,mean_successful_requests_per_second,mean_input_tokens_per_second,mean_output_tokens_per_second,true_itl_coverage
128,128,8,3,88.043750,70.085217,103.673717,123.832213,14.219092,14.485164,14.904918,1423.117905,1437.565507,1486.303629,5.951978,761.853215,524.004181,960/960
128,128,16,3,81.704167,91.702690,221.734502,228.577276,15.589917,16.444813,16.991210,1490.892818,1635.787151,1661.318082,11.402784,1459.556349,930.824082,960/960
512,16,8,3,16.000000,253.069830,387.045534,411.389351,19.414235,37.231634,37.445610,643.006214,650.058857,655.057516,12.448979,6373.877334,199.183667,960/960
512,16,16,3,16.000000,474.948039,591.608918,809.962173,37.895174,62.919654,63.734736,1043.258510,1053.884893,1226.775127,15.360658,7864.656713,245.770522,960/960
512,32,8,3,32.000000,251.154438,387.211807,406.866607,16.677918,25.323870,25.422982,869.870982,876.066283,880.575187,9.202324,4711.590002,294.474375,960/960
512,32,16,3,32.000000,472.338691,589.100739,804.472895,25.973024,37.953787,38.434656,1277.442143,1287.322368,1457.872287,12.538399,6419.660092,401.228756,960/960
512,128,8,3,41.000000,273.165489,411.328156,417.367909,17.543885,21.185050,21.612392,987.988134,995.282591,1002.173544,8.098652,4146.509704,332.044722,960/960
512,128,16,3,41.000000,475.628506,578.139659,774.953553,22.188353,32.095590,32.799075,1415.673038,1429.905878,1582.968407,11.323394,5797.577955,464.259172,960/960
2048,128,8,3,66.706250,439.543883,819.026287,1216.000824,32.069915,39.461042,40.179671,2292.085008,3555.866692,3746.961248,3.044961,6236.080679,203.110195,960/960
2048,128,16,3,67.096875,665.151368,1064.608416,2870.982004,55.056404,64.562693,68.061913,3827.283455,6151.993616,8001.076913,3.612164,7397.712505,242.364937,960/960
